place_id,name,feat_class,feat_code,adm1,cc,FIPS_cc,source,name_bias,id_bias,name_type,lat,lon
N12145993,United States,A,PCLI,0,US,US,X,55,49,N,39.76,-98.5
N-2665674,Lao People's Democratic Republic,A,PCLI,0,LA,LA,X,5,95,N,18,105
N-2665674,LPDR,A,PCLI,0,LA,LA,X,5,95,C,18,105
N-2665674,République démocratique populaire lao,A,PCLI,0,LA,LA,X,5,95,N,18,105
N-2062993,DR Congo,A,PCLI,0,CD,CG,X,55,95,N,-2.5,23.5
N-2062993,DRCongo,A,PCLI,0,CD,CG,X,55,95,N,-2.5,23.5
N-2062993,DRC,A,PCLI,0,CD,CG,X,55,49,A,-2.5,23.5
N-1342503,Central Africa Republic,A,PCLI,0,CF,CT,X,50,95,N,7,21
N-1900673,ROC,A,PCLI,0,CN,CH,X,5,1,C,35,105
N-716590,ROK,A,PCLI,0,KR,KS,X,25,49,C,37,127.5
U1779808,Puerto Rico,A,TERR,0,PR,RQ,X,50,95,N,18.2157,-66.41467
N415322,Kosovo and Metohija,A,PCLI,0,XK,KV,X,5,95,N,42.58333,20.91667
N415322,Kosovo,A,PCLI,0,XK,KV,X,5,49,N,42.58333,20.91667
N-3099121,KSA,A,PCLI,0,SA,SA,X,1,49,C,25,45
N-1057067,Украина,A,PCLI,0,UA,UP,X,5,49,N,49,32
U1662328,LA,P,PPL,CA,US,US,X,0,77,C,34.05223,-118.24368
U1662328,city of angels,P,PPL,CA,US,US,X,0,77,N,34.05223,-118.24368
U975772,NYC,P,PPL,NY,US,US,X,0,77,C,40.71427,-74.00597
U975772,Big Apple,P,PPL,NY,US,US,X,10,26,N,40.71427,-74.00597
U617565,Beantown,P,PPL,MA,US,US,X,10,77,N,42.35843,-71.05977
U277593,San Fran,P,PPL,NY,US,US,X,50,77,N,37.77493,-122.41942
U277593,SanFran,P,PPL,NY,US,US,X,50,77,N,37.77493,-122.41942
U277593,SF,P,PPL,NY,US,US,X,50,77,C,37.77493,-122.41942
U1779795,Jersey,A,ADM1,NJ,US,US,X,5,60,N,40.11013,-74.65561
U531871,Washington,P,PPLC,DC,US,US,X,0,77,N,38.89511,-77.03637
U531871,DC,P,PPLC,DC,US,US,X,0,77,C,38.89511,-77.03637
U1779778,Calif.,A,ADM1,CA,US,US,X,5,13,A,37.2153,-119.66384
N-979186,Bs. As.,P,PPLC,7,AR,AR,X,40,95,A,-34.60639,-58.43528
N-979186,BsAs,P,PPLC,7,AR,AR,X,40,95,A,-34.60639,-58.43528
U1380951,"San Antonio, Texas",P,PPL,TX,US,US,X,70,95,N,29.42412,-98.49363
N-784547,UAE,A,PCLI,0,AE,AE,N,30,90,C,23.75,54.5
N-784547,U.A.E.,A,PCLI,0,AE,AE,N,30,90,A,23.75,54.5
